Race,Theme,Personality,Clothing
Bat Pony,Cyberpunk,Absentminded,Armor Plating (medieval or fantasy)
Crystal Pony,Dark Fantasy,Adaptive,Ball Gown
Earth Pony,Dystopian,Adventurous,Ballet Shoes
Kirin,Gothic,Airhead,Bandage Wraps
Pegasus Pony,Medieval,Aloof,Bandana
Unicorn Pony,Military/War,Altruistic,Beaded Headbands
,Modern Day,Ambitious,Bell Collar
,Mystery/Detective,Analytical,Bell-bottom Pants
,Pirate,Antisocial,Biker Jacket
,Post-Apocalyptic,Arrogant,Body Harnesses
,Retro Futuristic,Artistic,Bow Tie
,School Life,Assertive,Bracelets
,Sci-Fi,Assertive,Bridle
,Space Exploration,Authoritative,Cape
,Steampunk,Blunt,Chainmail Armor
,Survival,Boastful,Choker
,Urban Fantasy,Bookworm,Corset
,Victorian Era,Brave,Crystal Pendant
,Western,Carefree,Crystal Studded Mask
,,Careful,Decorative Armbands
,,Cat Person,Decorative Hoof Guards
,,Charismatic,Earrings
,,Charitable,Elegant Shawls
,,Charming,Embroidered Capes
,,Cheerful,Feather Headdress
,,Childishly Violent,Feather Plumes
,,Cinephile,Feathered Boa
,,Closet Pervert,Fishnet Stockings
,,Clumsy,Fleece Jacket
,,Cold-hearted,Flower Crown
,,Compassionate,Frilly Bonnets
,,Competitive,Frilly Dress
,,Competitive,Fringed Shawl
,,Complacent,Garter Belt
,,Composed,Goggles
,,Conceited,Harness
,,Confident,Holiday Sweaters
,,Conscientious,Horseshoes (decorative)
,,Contemplative,Jewel-encrusted Collar
,,Courteous,Knee-High Boots
,,Courteous,Lace Collar
,,Crafty,Lace Gloves
,,Creative,Lacy Bustier
,,Cruel,Latex Socks
,,Cunning,Leather Jacket
,,Cynic,Leather Skirt
,,Dandere,Leg Warmers
,,Daydreamer,Leg Wraps
,,Deceitful,Leopard Print Jacket
,,Dependable,Lingerie Set
,,Deredere,Military Uniform
,,Detached,Mini Skirt
,,Diligent,Muzzle Guard (decorative)
,,Diplomatic,Necklace with Locket
,,Discreet,Pearl Necklace
,,Dishonest,Pirate Hat
,,Distrustful,Plush Bathrobe
,,Docile,Pony-tail Holders
,,Dog Person,Puffy Sleeves
,,Dogmatic,Reflective Vests
,,Dominant,Ribbon Necklaces
,,Donkan,Ribbon on Mane for Ponytail
,,Dramatic,Riding Boots
,,Dutiful,Saddle
,,Eccentric,Safari Hat
,,Effeminate,Scarves
,,Emotional,Sequin Dress
,,Empathetic,Silk Cravat
,,Energetic,Silk Handkerchiefs
,,Enthusiastic,Silk Pajamas
,,Envious,Silk Robe
,,Family Oriented,Silk Scarves
,,Fear of Commitment,Spandex Suit
,,Fearless,Spiked Boots
,,Feminist,Spiked Collar
,,Flamboyant,Stetson Hat
,,Flexible,Stockings
,,Flustered,Strapless Dress
,,Food Lover,Studded Belt
,,Forthright,Studded Bracelet
,,Friendly,Sun Hat
,,Frugal,Sun Visor
,,Funny,Sunglasses
,,Generous,Sweater Vest
,,Genius,Tail Ribbon
,,Genre Savvy,Tiara
,,Gentle,Top Hat
,,Gloomy,Trench Coat
,,Gossipy,Trench Coat
,,Gracious,Tribal Tattoos (temporary)
,,Gregarious,Tutu
,,Grumbler,Velvet Cloak
,,Gullible,Vest
,,Haraguro,Winter Coat
,,Hard Worker,Winter Earmuffs
,,Harmonious,Wrist Cuffs
,,Henpecked,Zebra-striped Leggings
,,Hetare,
,,Himedere,
,,Homophobe,
,,Honest,
,,Honorable,
,,Hotblooded,
,,Humble,
,,Hypocrite,
,,Idealist,
,,Idealistic,
,,Idiot,
,,Ignorant,
,,Illiterate,
,,Immature,
,,Impartial,
,,Impulsive,
,,Incorruptible,
,,Independent,
,,Innovative,
,,Insightful,
,,Intense,
,,Introverted,
,,Inventive,
,,Japanophile,
,,Jealous,
,,Jock,
,,Judgmental,
,,Kind,
,,Kuudere,
,,Lavish,
,,Lazy,
,,Lethargic,
,,Loner,
,,Low Self-esteem,
,,Loyal,
,,Lucky,
,,Mature,
,,Mercurial,
,,Methodical,
,,Meticulous,
,,Misanthrope,
,,Misogynist,
,,Money Lover,
,,Moody,
,,Motivated,
,,Mournful,
,,Naive,
,,Narcissist,
,,Nature Lover,
,,Nihilist,
,,No Sense of Direction,
,,Nonchalant,
,,Nurturing,
,,Oblivious,
,,Observant,
,,Obsessive,
,,Old-fashioned,
,,Opportunistic,
,,Optimist,
,,Optimistic,
,,Outgoing,
,,Outlandish,
,,Pacifist,
,,Patient,
,,Patient,
,,Patriotic,
,,Pensive,
,,Perfectionist,
,,Persevering,
,,Pervert,
,,Picky,
,,Placid,
,,Playful,
,,Possessive,
,,Practical,
,,Pragmatic,
,,Pragmatic,
,,Precise,
,,Pretending,
,,Pretentious,
,,Primitive,
,,Principled,
,,Proactive,
,,Promiscuous,
,,Protective,
,,Prudent,
,,Prudent,
,,Quick-witted,
,,Rational,
,,Rebellious,
,,Rebellious,
,,Reckless,
,,Refined,
,,Reflective,
,,Relaxed,
,,Reliable,
,,Remorseful,
,,Reserved,
,,Reserved,
,,Resilient,
,,Resolute,
,,Resourceful,
,,Romantic,
,,Romantically Indecisive,
,,Rude,
,,Sarcastic,
,,Scrupulous,
,,Secretive,
,,Self-centered,
,,Self-disciplined,
,,Sensitive,
,,Serene,
,,Sharp-tongued,
,,Short-tempered,
,,Shy,
,,Skeptical,
,,Skeptical,
,,Sleepyhead,
,,Sloppy,
,,Sly,
,,Smart,
,,Sociable,
,,Sociopath,
,,Spoiled,
,,Spontaneous,
,,Stingy,
,,Stoic,
,,Streetwise,
,,Stubborn,
,,Stylish,
,,Subtle,
,,Superficial,
,,Superstitious,
,,Supportive,
,,Suspicious,
,,Sympathetic,
,,Taciturn,
,,Tactful,
,,Talkative,
,,Tenacious,
,,Thoughtful,
,,Thrifty,
,,Timid,
,,Timorous,
,,Tolerant,
,,Tolerant,
,,Tomboy,
,,Tranquil,
,,Trusting,
,,Trustworthy,
,,Uneducated,
,,Unlucky,
,,Unpredictable,
,,Unyielding,
,,Vengeful,
,,Versatile,
,,Vigilant,
,,Vindictive,
,,Vindictive,
,,Violent,
,,Warm-hearted,
,,Whiny,
,,Wise,
,,Witty,
,,Womanizer,
,,Yandere,
,,Yangire,
,,Zealous,
